N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,34,0,287
2,0,18,0,303
3,0,15,0,306
4,0,11,0,310
5,0,8,0,313
6,0,6,0,315
7,0,6,0,315
8,0,5,0,316
9,0,4,0,317
10,0,4,0,317
11,0,3,0,318
12,0,3,0,318
13,0,3,0,318
14,0,3,0,318
15,0,2,0,319
16,0,2,0,319
17,0,2,0,319
18,0,2,0,319
19,0,2,0,319
20,0,2,0,319
21,0,2,0,319
22,0,2,0,319
23,0,2,0,319
24,0,2,0,319
25,0,1,0,320
26,0,1,0,320
27,0,1,0,320
28,0,1,0,320
29,0,1,0,320
30,0,1,0,320
31,0,1,0,320
32,0,1,0,320
33,0,1,0,320
34,0,1,0,320
35,0,1,0,320
36,0,0,0,321
37,0,0,0,321
38,0,0,0,321
39,0,0,0,321
40,0,0,0,321
41,0,0,0,321
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
